index,run_id,run_type,rank,alpha,lr,max_steps,num_infer_gpus,num_train_gpus,batch_size,rollouts_per_example,max_trainable_llm_subcalls_per_rollout,semantic_child_local_advantage_weight,loss_normalization,semantic_child_fraction,semantic_record_map_min_records,dataset_id,wandb_entity,wandb_project,config_path,output_dir,status
1,rlm-rlvr-qwen3-4b-depth1-h100-r4-a8-lr1e-4-s30-semantic-delegation-v4-dual-verified-branch50-pilot,pilot,4,8,1e-4,30,4,4,64,4,3,0.8,branch_sequence,0.5,8,lsteno/BEEG-agents-semantic-delegation-v4,lsteno-university-of-twente,rlm-rlvr,configs/rlm_rlvr/semantic_delegation_v4_dual_contract/qwen3_4b_instruct_depth1_r004_a008_lr1e-4_s30_8xh100_semantic-delegation-v4-dual-verified-branch50-pilot.toml,outputs/rlm-rlvr-qwen3-4b-depth1-h100-r4-a8-lr1e-4-s30-semantic-delegation-v4-dual-verified-branch50-pilot,pending
2,rlm-rlvr-qwen3-4b-depth1-h100-r4-a8-lr1e-4-s150-semantic-delegation-v4-dual-verified-branch50-full,full,4,8,1e-4,150,4,4,64,4,3,0.8,branch_sequence,0.5,8,lsteno/BEEG-agents-semantic-delegation-v4,lsteno-university-of-twente,rlm-rlvr,configs/rlm_rlvr/semantic_delegation_v4_dual_contract/qwen3_4b_instruct_depth1_r004_a008_lr1e-4_s150_8xh100_semantic-delegation-v4-dual-verified-branch50-full.toml,outputs/rlm-rlvr-qwen3-4b-depth1-h100-r4-a8-lr1e-4-s150-semantic-delegation-v4-dual-verified-branch50-full,gated
